Age,Income,Visits_Last_Month,Avg_Purchase_Value,Months_as_Client,Client_Type
56,9901,11,375.56,36,High Potential
69,6575,11,295.85,56,Stable
46,6530,4,481.46,32,Stable
32,5413,6,193.69,52,Stable
60,4748,3,150.0,21,Stable
25,1663,5,435.61,20,Stable
38,2998,12,119.56,5,Stable
56,8994,19,481.98,5,High Potential
36,2495,14,15.96,54,Stable
40,4304,2,485.24,47,Stable
28,4763,7,31.15,3,Stable
28,6232,19,446.66,29,High Potential
41,2853,15,268.57,10,Stable
53,7585,12,496.55,29,High Potential
57,2291,17,46.16,30,Stable
41,4581,9,281.39,23,Stable
20,8554,18,484.96,54,High Potential
39,8280,16,266.32,8,Stable
19,2636,18,318.41,54,High Potential
41,4696,4,350.92,2,New
61,1698,8,232.73,50,Stable
47,5737,11,317.5,30,High Potential
55,1854,0,296.31,39,Stable
19,9164,0,451.57,36,Stable
38,6855,14,32.27,35,Stable
50,8392,1,147.67,23,Stable
29,7528,15,475.7,30,High Potential
39,6249,7,446.23,5,Stable
61,6172,12,233.27,1,New
42,2707,0,313.86,19,Stable
66,6791,15,145.92,27,Stable
44,6535,6,102.18,10,Stable
59,5931,4,237.21,3,Stable
45,4510,2,183.14,14,Stable
33,1202,11,295.99,5,Stable
32,5218,15,48.09,53,Stable
64,9958,18,487.45,48,High Potential
68,5389,4,493.24,29,Stable
61,3327,13,352.1,55,High Potential
69,9004,4,272.69,37,Stable
20,3931,14,161.67,50,Stable
54,8777,16,408.76,56,High Potential
68,1197,13,345.52,1,New
24,8125,19,89.68,14,Stable
38,2930,4,456.35,10,Stable
26,7287,11,413.04,7,High Potential
56,9800,15,475.4,25,High Potential
35,5282,15,365.6,50,High Potential
21,3511,6,310.57,44,Stable
42,1659,3,214.94,43,Stable
31,3811,0,467.04,4,Stable
67,8098,4,434.37,5,Stable
26,7546,9,32.16,25,Stable
43,2986,4,22.92,53,Stable
19,9338,3,194.47,3,Stable
37,3911,1,407.17,18,Stable
45,2734,19,493.77,19,High Potential
64,2843,9,83.7,32,Stable
24,9680,18,301.12,19,High Potential
61,3976,0,196.64,48,Stable
25,2959,4,485.26,11,Stable
64,6759,12,422.64,46,High Potential
52,7694,3,420.78,0,New
31,3385,15,239.66,25,Stable
34,5736,15,213.26,13,Stable
53,2802,1,143.97,37,Stable
67,9155,16,37.62,36,Stable
57,9120,19,433.71,10,High Potential
21,7616,11,408.32,35,High Potential
19,6534,17,499.86,12,High Potential
23,5061,2,498.35,42,Stable
59,1262,0,282.16,2,New
21,7287,0,386.8,32,Stable
46,9815,18,472.94,5,High Potential
35,3049,10,426.33,49,Stable
43,6423,4,131.2,55,Stable
61,5548,11,230.77,9,Stable
51,4108,2,73.29,4,Possible Churn
27,8158,0,477.49,22,Stable
53,8400,0,307.03,9,Stable
31,4170,7,122.03,43,Stable
48,3255,9,339.13,1,New
65,2154,10,312.88,12,Stable
32,5499,11,185.5,39,Stable
25,7295,12,65.64,1,New
31,7197,11,339.07,19,High Potential
40,2648,13,264.95,0,New
57,6539,1,388.44,36,Stable
38,5199,18,264.88,8,Stable
33,9445,17,427.57,16,High Potential
62,3557,2,280.43,8,Stable
35,6592,16,284.86,10,Stable
64,1098,7,439.56,14,Stable
41,3200,9,207.71,23,Stable
43,3961,1,75.67,37,Possible Churn
42,5973,18,24.1,54,Stable
62,5433,8,380.02,34,Stable
58,3869,6,313.95,29,Stable
46,1956,3,355.0,30,Stable
32,9352,17,114.35,48,Stable
62,6699,12,76.82,4,Stable
18,7944,10,17.13,59,Stable
42,5493,3,181.79,43,Stable
24,5911,3,299.06,49,Stable
26,4987,9,202.2,13,Stable
41,7015,4,224.36,52,Stable
18,2218,8,453.04,55,Stable
61,5496,2,180.65,10,Stable
25,5735,16,261.85,8,Stable
41,5555,2,393.99,33,Stable
28,9050,15,204.31,11,Stable
68,4446,3,314.82,34,Stable
34,2045,17,432.56,34,High Potential
25,7893,16,475.27,0,New
52,2693,6,82.07,39,Stable
52,4436,4,464.03,21,Stable
50,9754,11,251.14,59,Stable
22,6895,16,136.54,28,Stable
59,4354,12,234.98,7,Stable
56,1225,2,490.22,10,Stable
58,5893,8,251.38,40,Stable
45,8022,16,171.09,36,Stable
24,6600,16,320.37,13,High Potential
26,8996,19,127.67,59,Stable
25,8683,15,47.17,29,Stable
29,5642,12,73.15,34,Stable
51,8679,18,72.74,20,Stable
50,9208,16,84.43,36,Stable
65,8339,3,78.03,4,Possible Churn
40,3205,11,324.03,18,High Potential
41,2069,8,99.12,58,Stable
54,4444,18,179.38,13,Stable
52,2060,11,449.43,25,High Potential
61,3327,8,242.24,3,Stable
57,4420,6,337.1,24,Stable
39,1301,13,94.44,44,Stable
44,1606,19,104.22,41,Stable
52,4170,18,30.03,24,Stable
18,1699,14,92.78,17,Stable
52,6088,15,146.51,39,Stable
54,1190,4,96.74,7,Stable
64,1980,2,53.46,38,Possible Churn
31,3975,11,69.11,39,Stable
20,7102,19,235.78,13,Stable
18,2184,3,111.1,31,Stable
22,4327,15,188.49,50,Stable
43,4394,6,256.67,37,Stable
31,9319,12,348.29,32,High Potential
56,2816,9,29.26,22,Stable
44,6854,6,401.71,14,Stable
26,7709,13,317.67,32,High Potential
32,1569,4,50.06,24,Stable
32,6442,2,438.05,16,Stable
43,2895,10,461.23,32,Stable
59,3733,10,39.93,46,Stable
30,4863,17,145.67,54,Stable
68,8455,14,405.04,1,New
49,5014,11,376.65,13,High Potential
56,2686,8,100.42,52,Stable
66,4009,9,112.58,39,Stable
69,8806,11,191.53,39,Stable
49,1154,16,247.42,50,Stable
21,2409,5,312.94,38,Stable
47,1784,6,190.77,50,Stable
54,9096,13,236.64,5,Stable
40,8560,12,376.26,5,High Potential
56,8343,7,27.97,2,New
62,8206,9,133.69,6,Stable
32,6596,8,359.54,50,Stable
60,6801,17,448.65,7,High Potential
46,3806,1,260.72,41,Stable
53,1537,4,270.74,51,Stable
30,6986,4,62.51,14,Stable
49,2841,5,229.23,46,Stable
24,9716,18,270.98,28,Stable
68,7971,7,128.81,32,Stable
39,6625,15,141.93,51,Stable
45,3950,12,194.87,29,Stable
19,8992,0,19.83,38,Possible Churn
59,5780,19,167.82,26,Stable
62,3368,16,113.61,35,Stable
23,7655,6,170.47,28,Stable
45,9173,12,68.68,37,Stable
45,5495,3,446.36,56,Stable
61,7002,3,300.86,32,Stable
61,7614,5,342.76,36,Stable
37,6919,18,396.69,26,High Potential
47,1853,11,254.24,54,Stable
28,5146,6,52.59,32,Stable
45,4769,9,273.18,3,Stable
42,1574,18,297.55,21,Stable
56,2148,6,375.27,1,New
50,7293,2,221.51,9,Stable
18,7457,12,72.51,4,Stable
44,8509,12,149.05,58,Stable
69,5777,17,187.91,9,Stable
30,4854,19,326.5,32,High Potential
58,3491,7,289.68,53,Stable
20,4124,8,184.49,37,Stable
56,6691,6,493.39,12,Stable
